,title,author,publication_year,average_rating,ratings_count
0,Horus Rising (Horus Heresy #1),Dan Abnett,2006.0,4.18,12370.0
1,False Gods (Horus Heresy #2),Graham McNeill,2006.0,4.07,8326.0
2,Galaxy in Flames,Ben Counter,2006.0,4.07,7279.0
3,The Flight of the Eisenstein,James Swallow,2007.0,3.98,6365.0
4,Fulgrim,Graham McNeill,2007.0,3.96,5452.0
5,Descent of Angels,Mitchel Scanlon,2007.0,3.49,4474.0
6,Legion,Dan Abnett,2008.0,4.1,5550.0
7,Battle for the Abyss,Ben Counter,2008.0,3.37,3493.0
8,Mechanicum,Graham McNeill,2008.0,3.86,3736.0
9,Tales of Heresy,Nick Kyme,2009.0,3.71,3014.0
10,Fallen Angels,Mike Lee,2009.0,3.65,3253.0
11,A Thousand Sons,Graham McNeill,2010.0,4.26,3981.0
12,Nemesis,James Swallow,2010.0,3.67,2575.0
13,The First Heretic,Aaron Dembski-Bowden,2010.0,4.22,3514.0
14,Prospero Burns,Dan Abnett,2010.0,4.15,3549.0
15,Age of Darkness,Christian Dunn,2011.0,3.72,2021.0
16,The Outcast Dead,Graham McNeill,2011.0,3.7,1938.0
17,Deliverance Lost,Gav Thorpe,2011.0,3.84,2143.0
18,Know No Fear,Dan Abnett,2012.0,4.2,2539.0
19,The Primarchs,Christian Dunn,2012.0,3.63,1413.0
20,Fear to Tread,James Swallow,2012.0,3.91,1709.0
21,Shadows of Treachery,Christian Dunn,2012.0,3.75,1143.0
22,Angel Exterminatus,Graham McNeill,2012.0,4.04,1498.0
23,Betrayer,Aaron Dembski-Bowden,2012.0,4.3,1660.0
24,Mark of Calth,L.J. Goulding,2013.0,3.7,1048.0
25,Vulkan Lives,Nick Kyme,2013.0,3.63,1057.0
26,The Unremembered Empire,Dan Abnett,2013.0,4.14,1309.0
27,Scars,Chris Wraight,2014.0,4.04,1094.0
28,Vengeful Spirit,Graham McNeill,2014.0,3.87,931.0
29,The Damnation of Pythos,David Annandale,2014.0,3.23,636.0
30,Legacies of Betrayal,Graham McNeill,2014.0,3.63,449.0
31,Deathfire,Nick Kyme,2015.0,3.5,525.0
32,War Without End,Aaron Dembski-Bowden,,3.62,353.0
33,Pharos,Guy Haley,2015.0,3.99,530.0
34,Eye of Terra,Aaron Dembski-Bowden,,3.67,336.0
35,The Path of Heaven,Chris Wraight,2016.0,4.14,461.0
36,The Silent War,Chris Wraight,,3.72,261.0
37,Angels of Caliban,Gav Thorpe,2016.0,3.83,397.0
38,Praetorian of Dorn,John  French,2017.0,4.17,464.0
39,Corax,Gav Thorpe,,3.78,293.0
40,The Master of Mankind,Aaron Dembski-Bowden,2017.0,4.23,693.0
41,Garro: Weapon of Fate,James Swallow,,3.93,256.0
42,Shattered Legions,L.J. Goulding,,3.75,164.0
43,The Crimson King,Graham McNeill,,3.72,294.0
44,Tallarn,John  French,,3.74,149.0
45,"Ruinstorm (The Horus Heresy, #46)",David Annandale,2017.0,3.58,231.0
46,"Old Earth (The Horus Heresy, #47)",Nick Kyme,,3.55,198.0
47,The Burden of Loyalty,Laurie Goulding,,3.73,120.0
48,Wolfsbane,Guy Haley,2018.0,4.22,229.0
49,"Born of Flame (The Horus Heresy, #50)",Nick Kyme,,3.37,71.0
